parameter	renewable_signal(interval)	/
1159	0.0236247	
1160	0.0255657	
1161	0.0275067	
1162	0.0294476	
1163	0.0313886	
1164	0.0333296	
1165	0.0197427	
1166	0.0199091	
1167	0.0200754	
1168	0.0202418	
1169	0.0204082	
1170	0.0205745	
1171	0.0207409	
1172	0.0209073	
1173	0.0210736	
1174	0.02124	
1175	0.0214064	
1176	0.0215728	
1177	0.0204082	
1178	0.0202972	
1179	0.0201863	
1180	0.0200754	
1181	0.0199645	
1182	0.0198536	
1183	0.0197427	
1184	0.0196318	
1185	0.0195209	
1186	0.0194099	
1187	0.019299	
1188	0.0191881	
1189	0.0199645	
1190	0.019299	
1191	0.0186335	
1192	0.0179681	
1193	0.0173026	
1194	0.0166371	
1195	0.0159716	
1196	0.0153061	
1197	0.0146406	
1198	0.0139752	
1199	0.0133097	
1200	0.0126442	
1201	0.0173026	
1202	0.017358	
1203	0.0174135	
1204	0.0174689	
1205	0.0175244	
1206	0.0175799	
1207	0.0176353	
1208	0.0176908	
1209	0.0177462	
1210	0.0178017	
1211	0.0178571	
1212	0.0179126	
1213	0.0175244	
1214	0.0170253	
1215	0.0165262	
1216	0.0160271	
1217	0.015528	
1218	0.0150288	
1219	0.0145297	
1220	0.0140306	
1221	0.0135315	
1222	0.0130324	
1223	0.0125333	
1224	0.0120342	
1225	0.015528	
1226	0.0157498	
1227	0.0159716	
1228	0.0161934	
1229	0.0164153	
1230	0.0166371	
1231	0.0168589	
1232	0.0170807	
1233	0.0173026	
1234	0.0175244	
1235	0.0177462	
1236	0.0179681	
1237	0.0164153	
1238	0.0160825	
1239	0.0157498	
1240	0.015417	
1241	0.0150843	
1242	0.0147516	
1243	0.0144188	
1244	0.0140861	
1245	0.0137533	
1246	0.0134206	
1247	0.0130878	
1248	0.0127551	
1249	0.0150843	
1250	0.0145852	
1251	0.0140861	
1252	0.013587	
1253	0.0130878	
1254	0.0125887	
1255	0.0120896	
1256	0.0115905	
1257	0.0110914	
1258	0.0105923	
1259	0.0100932	
1260	0.00959406	
1261	0.0130878	
1262	0.0125333	
1263	0.0119787	
1264	0.0114241	
1265	0.0108696	
1266	0.010315	
1267	0.00976043	
1268	0.00920586	
1269	0.00865129	
1270	0.00809672	
1271	0.00754215	
1272	0.00698758	
1273	0.0108696	
1274	0.0115905	
1275	0.0123114	
1276	0.0130324	
1277	0.0137533	
1278	0.0144743	
1279	0.0151952	
1280	0.0159161	
1281	0.0166371	
1282	0.017358	
1283	0.018079	
1284	0.0187999	
1285	0.0137533	
1286	0.0162489	
1287	0.0187445	
1288	0.02124	
1289	0.0237356	
1290	0.0262311	
1291	0.0287267	
1292	0.0312223	
1293	0.0337178	
1294	0.0362134	
1295	0.038709	
1296	0.0412045	
1297	0.0237356	
1298	0.0240683	
1299	0.0244011	
1300	0.0247338	
1301	0.0250665	
1302	0.0253993	
1303	0.025732	
1304	0.0260648	
1305	0.0263975	
1306	0.0267303	
1307	0.027063	
1308	0.0273957	
1309	0.0250665	
1310	0.0245674	
1311	0.0240683	
1312	0.0235692	
1313	0.0230701	
1314	0.022571	
1315	0.0220719	
1316	0.0215728	
1317	0.0210736	
1318	0.0205745	
1319	0.0200754	
1320	0.0195763	
1321	0.0230701	
1322	0.0230701	
1323	0.0230701	
1324	0.0230701	
1325	0.0230701	
1326	0.0230701	
1327	0.0230701	
1328	0.0230701	
1329	0.0230701	
1330	0.0230701	
1331	0.0230701	
1332	0.0230701	
1333	0.0230701	
1334	0.0236801	
1335	0.0242902	
1336	0.0249002	
1337	0.0255102	
1338	0.0261202	
1339	0.0267303	
1340	0.0273403	
1341	0.0279503	
1342	0.0285603	
1343	0.0291704	
1344	0.0297804	
1345	0.0255102	
1346	0.027063	
1347	0.0286158	
1348	0.0301686	
1349	0.0317214	
1350	0.0332742	
1351	0.034827	
1352	0.0363798	
1353	0.0379326	
1354	0.0394854	
1355	0.0410382	
1356	0.0425909	
1357	0.0317214	
1358	0.0338842	
1359	0.036047	
1360	0.0382098	
1361	0.0403727	
1362	0.0425355	
1363	0.0446983	
1364	0.0468611	
1365	0.049024	
1366	0.0511868	
1367	0.0533496	
1368	0.0555124	
1369	0.0403727	
1370	0.0409272	
1371	0.0414818	
1372	0.0420364	
1373	0.0425909	
1374	0.0431455	
1375	0.0437001	
1376	0.0442547	
1377	0.0448092	
1378	0.0453638	
1379	0.0459184	
1380	0.0464729	
1381	0.0425909	
1382	0.0400954	
1383	0.0375998	
1384	0.0351043	
1385	0.0326087	
1386	0.0301131	
1387	0.0276176	
1388	0.025122	
1389	0.0226264	
1390	0.0201309	
1391	0.0176353	
1392	0.0151398	
1393	0.0326087	
1394	0.0320541	
1395	0.0314996	
1396	0.030945	
1397	0.0303904	
1398	0.0298358	
1399	0.0292813	
1400	0.0287267	
1401	0.0281721	
1402	0.0276176	
1403	0.027063	
1404	0.0265084	
1405	0.0303904	
1406	0.0322205	
1407	0.0340506	
1408	0.0358807	
1409	0.0377107	
1410	0.0395408	
1411	0.0413709	
1412	0.043201	
1413	0.0450311	
1414	0.0468611	
1415	0.0486912	
1416	0.0505213	
1417	0.0377107	
1418	0.0415927	
1419	0.0454747	
1420	0.0493567	
1421	0.0532387	
1422	0.0571207	
1423	0.0610027	
1424	0.0648846	
1425	0.0687666	
1426	0.0726486	
1427	0.0765306	
1428	0.0804126	
1429	0.0532387	
1430	0.0505213	
1431	0.0478039	
1432	0.0450865	
1433	0.0423691	
1434	0.0396517	
1435	0.0369343	
1436	0.0342169	
1437	0.0314996	
1438	0.0287822	
1439	0.0260648	
1440	0.0233474	
1441	0.0423691	
1442	0.0439774	
1443	0.0455856	
1444	0.0471939	
1445	0.0488021	
1446	0.0504104	
1447	0.0520186	
1448	0.0536269	
1449	0.0552351	
1450	0.0568434	
1451	0.0584516	
1452	0.0600599	
1453	0.0488021	
1454	0.0444765	
1455	0.0401508	
1456	0.0358252	
1457	0.0314996	
1458	0.0271739	
1459	0.0228483	
1460	0.0185226	
1461	0.014197	
1462	0.00987134	
1463	0.0055457	
1464	0.00122005	
1465	0.0314996	
1466	0.0319432	
1467	0.0323869	
1468	0.0328305	
1469	0.0332742	
1470	0.0337178	
1471	0.0341615	
1472	0.0346051	
1473	0.0350488	
1474	0.0354925	
1475	0.0359361	
1476	0.0363798	
1477	0.0332742	
1478	0.0361025	
1479	0.0389308	
1480	0.0417591	
1481	0.0445874	
1482	0.0474157	
1483	0.050244	
1484	0.0530723	
1485	0.0559006	
1486	0.0587289	
1487	0.0615572	
1488	0.0643855	
1489	0.0445874	
1490	0.0453638	
1491	0.0461402	
1492	0.0469166	
1493	0.047693	
1494	0.0484694	
1495	0.0492458	
1496	0.0500222	
1497	0.0507986	
1498	0.051575	
1499	0.0523514	
